tile_ID,geometry,position
87,"POLYGON ((-76.9580981488585 38.86161324911378, -76.9580981488585 38.875601582785485, -76.94013184317609 38.875601582785485, -76.94013184317609 38.86161324911378, -76.9580981488585 38.86161324911378))","[8, 4]"
88,"POLYGON ((-76.9580981488585 38.875601582785485, -76.9580981488585 38.88958716372352, -76.94013184317609 38.88958716372352, -76.94013184317609 38.875601582785485, -76.9580981488585 38.875601582785485))","[8, 5]"
89,"POLYGON ((-76.9580981488585 38.88958716372352, -76.9580981488585 38.90356999163647, -76.94013184317609 38.90356999163647, -76.94013184317609 38.88958716372352, -76.9580981488585 38.88958716372352))","[8, 6]"
90,"POLYGON ((-76.9580981488585 38.90356999163647, -76.9580981488585 38.917550066233616, -76.94013184317609 38.917550066233616, -76.94013184317609 38.90356999163647, -76.9580981488585 38.90356999163647))","[8, 7]"
91,"POLYGON ((-76.9580981488585 38.917550066233616, -76.9580981488585 38.93152738722498, -76.94013184317609 38.93152738722498, -76.94013184317609 38.917550066233616, -76.9580981488585 38.917550066233616))","[8, 8]"
92,"POLYGON ((-76.94013184317609 38.86161324911378, -76.94013184317609 38.875601582785485, -76.92216553749371 38.875601582785485, -76.92216553749371 38.86161324911378, -76.94013184317609 38.86161324911378))","[9, 4]"
93,"POLYGON ((-76.94013184317609 38.875601582785485, -76.94013184317609 38.88958716372352, -76.92216553749371 38.88958716372352, -76.92216553749371 38.875601582785485, -76.94013184317609 38.875601582785485))","[9, 5]"
94,"POLYGON ((-76.94013184317609 38.88958716372352, -76.94013184317609 38.90356999163647, -76.92216553749371 38.90356999163647, -76.92216553749371 38.88958716372352, -76.94013184317609 38.88958716372352))","[9, 6]"
95,"POLYGON ((-76.94013184317609 38.90356999163647, -76.94013184317609 38.917550066233616, -76.92216553749371 38.917550066233616, -76.92216553749371 38.90356999163647, -76.94013184317609 38.90356999163647))","[9, 7]"
96,"POLYGON ((-76.92216553749371 38.875601582785485, -76.92216553749371 38.88958716372352, -76.90419923181132 38.88958716372352, -76.90419923181132 38.875601582785485, -76.92216553749371 38.875601582785485))","[10, 5]"
97,"POLYGON ((-76.92216553749371 38.88958716372352, -76.92216553749371 38.90356999163647, -76.90419923181132 38.90356999163647, -76.90419923181132 38.88958716372352, -76.92216553749371 38.88958716372352))","[10, 6]"
