tile_ID,geometry,position
94,"POLYGON ((-73.95646113011162 40.822255639529025, -73.95646113011162 40.82905321290506, -73.94747797727042 40.82905321290506, -73.94747797727042 40.822255639529025, -73.95646113011162 40.822255639529025))","[7, 18]"
95,"POLYGON ((-73.95646113011162 40.82905321290506, -73.95646113011162 40.83585008951722, -73.94747797727042 40.83585008951722, -73.94747797727042 40.82905321290506, -73.95646113011162 40.82905321290506))","[7, 19]"
96,"POLYGON ((-73.95646113011162 40.83585008951722, -73.95646113011162 40.84264626934129, -73.94747797727042 40.84264626934129, -73.94747797727042 40.83585008951722, -73.95646113011162 40.83585008951722))","[7, 20]"
97,"POLYGON ((-73.94747797727042 40.76784997194176, -73.94747797727042 40.7746531185518, -73.93849482442923 40.7746531185518, -73.93849482442923 40.76784997194176, -73.94747797727042 40.76784997194176))","[8, 10]"
98,"POLYGON ((-73.94747797727042 40.7746531185518, -73.94747797727042 40.78145556859322, -73.93849482442923 40.78145556859322, -73.93849482442923 40.7746531185518, -73.94747797727042 40.7746531185518))","[8, 11]"
99,"POLYGON ((-73.94747797727042 40.78145556859322, -73.94747797727042 40.788257322041495, -73.93849482442923 40.788257322041495, -73.93849482442923 40.78145556859322, -73.94747797727042 40.78145556859322))","[8, 12]"
100,"POLYGON ((-73.94747797727042 40.788257322041495, -73.94747797727042 40.7950583788721, -73.93849482442923 40.7950583788721, -73.93849482442923 40.788257322041495, -73.94747797727042 40.788257322041495))","[8, 13]"
101,"POLYGON ((-73.94747797727042 40.7950583788721, -73.94747797727042 40.80185873906056, -73.93849482442923 40.80185873906056, -73.93849482442923 40.7950583788721, -73.94747797727042 40.7950583788721))","[8, 14]"
102,"POLYGON ((-73.94747797727042 40.80185873906056, -73.94747797727042 40.80865840258246, -73.93849482442923 40.80865840258246, -73.93849482442923 40.80185873906056, -73.94747797727042 40.80185873906056))","[8, 15]"
103,"POLYGON ((-73.94747797727042 40.80865840258246, -73.94747797727042 40.815457369413394, -73.93849482442923 40.815457369413394, -73.93849482442923 40.80865840258246, -73.94747797727042 40.80865840258246))","[8, 16]"
104,"POLYGON ((-73.94747797727042 40.815457369413394, -73.94747797727042 40.822255639529025, -73.93849482442923 40.822255639529025, -73.93849482442923 40.815457369413394, -73.94747797727042 40.815457369413394))","[8, 17]"
105,"POLYGON ((-73.94747797727042 40.822255639529025, -73.94747797727042 40.82905321290506, -73.93849482442923 40.82905321290506, -73.93849482442923 40.822255639529025, -73.94747797727042 40.822255639529025))","[8, 18]"
106,"POLYGON ((-73.94747797727042 40.82905321290506, -73.94747797727042 40.83585008951722, -73.93849482442923 40.83585008951722, -73.93849482442923 40.82905321290506, -73.94747797727042 40.82905321290506))","[8, 19]"
107,"POLYGON ((-73.94747797727042 40.83585008951722, -73.94747797727042 40.84264626934129, -73.93849482442923 40.84264626934129, -73.93849482442923 40.83585008951722, -73.94747797727042 40.83585008951722))","[8, 20]"
108,"POLYGON ((-73.94747797727042 40.84264626934129, -73.94747797727042 40.8494417523531, -73.93849482442923 40.8494417523531, -73.93849482442923 40.84264626934129, -73.94747797727042 40.84264626934129))","[8, 21]"
109,"POLYGON ((-73.94747797727042 40.8494417523531, -73.94747797727042 40.856236538528506, -73.93849482442923 40.856236538528506, -73.93849482442923 40.8494417523531, -73.94747797727042 40.8494417523531))","[8, 22]"
110,"POLYGON ((-73.94747797727042 40.856236538528506, -73.94747797727042 40.86303062784341, -73.93849482442923 40.86303062784341, -73.93849482442923 40.856236538528506, -73.94747797727042 40.856236538528506))","[8, 23]"
111,"POLYGON ((-73.93849482442923 40.78145556859322, -73.93849482442923 40.788257322041495, -73.92951167158803 40.788257322041495, -73.92951167158803 40.78145556859322, -73.93849482442923 40.78145556859322))","[9, 12]"
112,"POLYGON ((-73.93849482442923 40.788257322041495, -73.93849482442923 40.7950583788721, -73.92951167158803 40.7950583788721, -73.92951167158803 40.788257322041495, -73.93849482442923 40.788257322041495))","[9, 13]"
113,"POLYGON ((-73.93849482442923 40.7950583788721, -73.93849482442923 40.80185873906056, -73.92951167158803 40.80185873906056, -73.92951167158803 40.7950583788721, -73.93849482442923 40.7950583788721))","[9, 14]"
114,"POLYGON ((-73.93849482442923 40.80185873906056, -73.93849482442923 40.80865840258246, -73.92951167158803 40.80865840258246, -73.92951167158803 40.80185873906056, -73.93849482442923 40.80185873906056))","[9, 15]"
115,"POLYGON ((-73.93849482442923 40.80865840258246, -73.93849482442923 40.815457369413394, -73.92951167158803 40.815457369413394, -73.92951167158803 40.80865840258246, -73.93849482442923 40.80865840258246))","[9, 16]"
116,"POLYGON ((-73.93849482442923 40.815457369413394, -73.93849482442923 40.822255639529025, -73.92951167158803 40.822255639529025, -73.92951167158803 40.815457369413394, -73.93849482442923 40.815457369413394))","[9, 17]"
117,"POLYGON ((-73.93849482442923 40.822255639529025, -73.93849482442923 40.82905321290506, -73.92951167158803 40.82905321290506, -73.92951167158803 40.822255639529025, -73.93849482442923 40.822255639529025))","[9, 18]"
118,"POLYGON ((-73.93849482442923 40.82905321290506, -73.93849482442923 40.83585008951722, -73.92951167158803 40.83585008951722, -73.92951167158803 40.82905321290506, -73.93849482442923 40.82905321290506))","[9, 19]"
119,"POLYGON ((-73.93849482442923 40.83585008951722, -73.93849482442923 40.84264626934129, -73.92951167158803 40.84264626934129, -73.92951167158803 40.83585008951722, -73.93849482442923 40.83585008951722))","[9, 20]"
120,"POLYGON ((-73.93849482442923 40.84264626934129, -73.93849482442923 40.8494417523531, -73.92951167158803 40.8494417523531, -73.92951167158803 40.84264626934129, -73.93849482442923 40.84264626934129))","[9, 21]"
121,"POLYGON ((-73.93849482442923 40.8494417523531, -73.93849482442923 40.856236538528506, -73.92951167158803 40.856236538528506, -73.92951167158803 40.8494417523531, -73.93849482442923 40.8494417523531))","[9, 22]"
122,"POLYGON ((-73.93849482442923 40.856236538528506, -73.93849482442923 40.86303062784341, -73.92951167158803 40.86303062784341, -73.92951167158803 40.856236538528506, -73.93849482442923 40.856236538528506))","[9, 23]"
123,"POLYGON ((-73.93849482442923 40.86303062784341, -73.93849482442923 40.86982402027376, -73.92951167158803 40.86982402027376, -73.92951167158803 40.86303062784341, -73.93849482442923 40.86303062784341))","[9, 24]"
124,"POLYGON ((-73.93849482442923 40.86982402027376, -73.93849482442923 40.876616715795556, -73.92951167158803 40.876616715795556, -73.92951167158803 40.86982402027376, -73.93849482442923 40.86982402027376))","[9, 25]"
125,"POLYGON ((-73.92951167158803 40.7950583788721, -73.92951167158803 40.80185873906056, -73.92052851874683 40.80185873906056, -73.92052851874683 40.7950583788721, -73.92951167158803 40.7950583788721))","[10, 14]"
126,"POLYGON ((-73.92951167158803 40.80185873906056, -73.92951167158803 40.80865840258246, -73.92052851874683 40.80865840258246, -73.92052851874683 40.80185873906056, -73.92951167158803 40.80185873906056))","[10, 15]"
127,"POLYGON ((-73.92951167158803 40.84264626934129, -73.92951167158803 40.8494417523531, -73.92052851874683 40.8494417523531, -73.92052851874683 40.84264626934129, -73.92951167158803 40.84264626934129))","[10, 21]"
128,"POLYGON ((-73.92951167158803 40.8494417523531, -73.92951167158803 40.856236538528506, -73.92052851874683 40.856236538528506, -73.92052851874683 40.8494417523531, -73.92951167158803 40.8494417523531))","[10, 22]"
129,"POLYGON ((-73.92951167158803 40.856236538528506, -73.92951167158803 40.86303062784341, -73.92052851874683 40.86303062784341, -73.92052851874683 40.856236538528506, -73.92951167158803 40.856236538528506))","[10, 23]"
130,"POLYGON ((-73.92951167158803 40.86303062784341, -73.92951167158803 40.86982402027376, -73.92052851874683 40.86982402027376, -73.92052851874683 40.86303062784341, -73.92951167158803 40.86303062784341))","[10, 24]"
131,"POLYGON ((-73.92951167158803 40.86982402027376, -73.92951167158803 40.876616715795556, -73.92052851874683 40.876616715795556, -73.92052851874683 40.86982402027376, -73.92951167158803 40.86982402027376))","[10, 25]"
132,"POLYGON ((-73.92951167158803 40.876616715795556, -73.92951167158803 40.883408714384814, -73.92052851874683 40.883408714384814, -73.92052851874683 40.876616715795556, -73.92951167158803 40.876616715795556))","[10, 26]"
133,"POLYGON ((-73.92052851874683 40.856236538528506, -73.92052851874683 40.86303062784341, -73.91154536590564 40.86303062784341, -73.91154536590564 40.856236538528506, -73.92052851874683 40.856236538528506))","[11, 23]"
